src,dst,times
11985,13723,0.008214235305786133
3281,4360,0.0072553157806396484
8267,1948,0.007265806198120117
3553,7381,0.008264303207397461
596,7898,0.007965564727783203
3237,57,0.009287357330322266
9103,6391,0.008232831954956055
919,2871,0.008243799209594727
1507,6208,0.008235931396484375
1395,8244,0.008237838745117188
3776,282,0.00899195671081543
897,6190,0.0072557926177978516
1033,8255,0.009203195571899414
5845,7206,0.008249521255493164
13356,4179,0.007977724075317383
1291,2893,0.007978439331054688
1780,6185,0.008977413177490234
6224,2347,0.008980751037597656
8612,6379,0.00818181037902832
2663,4132,0.007785320281982422
1098,1413,0.00821375846862793
1949,362,0.00797414779663086
8742,1137,0.008120536804199219
2499,7514,0.0072078704833984375
1231,405,0.007237434387207031
7730,839,0.008239030838012695
6899,615,0.007960081100463867
7135,1524,0.009300708770751953
3029,3581,0.008238792419433594
9901,3119,0.007272243499755859
4229,6003,0.008224010467529297
13269,3901,0.007983207702636719
7556,11095,0.008163213729858398
2388,121,0.008284807205200195
1202,5750,0.00919485092163086
2722,5762,0.008976221084594727
724,2442,0.009240865707397461
3592,3629,0.00825357437133789
4131,6144,0.008220434188842773
6931,3818,0.008014202117919922
1432,5468,0.008272647857666016
1813,1367,0.008295297622680664
3904,2993,0.009257793426513672
7361,14097,0.008804082870483398
3284,559,0.006976604461669922
5704,9411,0.008196592330932617
957,13032,0.008159875869750977
896,1478,0.007281780242919922
5943,242,0.008222579956054688
1487,11832,0.00700831413269043
3172,6305,0.008279800415039062
1546,5430,0.007245063781738281
463,1479,0.00917816162109375
8808,213,0.008010625839233398
5468,1388,0.007945537567138672
2829,2512,0.007272481918334961
8975,6464,0.006971597671508789
2513,3145,0.008234262466430664
3289,989,0.008207559585571289
8253,2889,0.00700831413269043
3125,3496,0.015488624572753906
