src,dst,time,hops,partitions
1361,7393,13.086345911026001,0,5
1571,3671,10.580523490905762,0,5
5733,1760,7.616356611251831,0,5
6837,4348,8.332712411880493,0,5
5035,6486,9.145013093948364,0,5
2652,6967,7.652936935424805,0,5
43,4971,5.850133419036865,0,5
6893,4516,4.51977276802063,0,5
724,4800,4.42249870300293,0,5
1296,6759,6.89025092124939,0,5
1975,6877,9.028756856918335,0,5
2740,5214,8.627341508865356,0,5
6793,7399,4.855013608932495,0,5
2362,1457,8.300795555114746,0,5
5092,7664,8.703717231750488,0,5
5023,2407,5.537187099456787,0,5
2659,5946,6.331074953079224,0,5
2714,5772,4.986661195755005,0,5
3252,1954,8.10949969291687,0,5
732,7597,4.392066955566406,0,5
4310,755,4.494964122772217,0,5
497,2982,7.1567816734313965,0,5
4526,3269,5.20222282409668,0,5
6849,6083,6.591390371322632,0,5
7219,5491,5.707006216049194,0,5
4641,274,8.485569953918457,4,5
3534,495,6.974652051925659,0,5
3854,5336,7.836455345153809,0,5
4908,648,12.567703485488892,5,5
6753,7500,6.333178520202637,0,5
1364,4301,5.9139227867126465,0,5
7148,3528,5.790231227874756,0,5
7171,864,5.132427930831909,0,5
3108,399,7.897827625274658,0,5
5560,6474,7.944749116897583,0,5
3450,3341,8.576059579849243,0,5
5736,7651,4.411198139190674,0,5
6895,1785,7.096013784408569,0,5
2557,4716,7.440343618392944,0,5
2887,3033,5.548372507095337,0,5
4691,483,8.546939849853516,0,5
5175,2471,7.561592102050781,0,5
5362,4028,4.051847219467163,3,5
4001,1342,6.347264289855957,0,5
1267,4837,5.7218005657196045,0,5
4994,5323,4.136735200881958,0,5
3250,1490,3.6297600269317627,0,5
4532,1228,7.13444185256958,0,5
3420,3550,7.138919830322266,0,5
6756,171,5.1953136920928955,0,5
3686,3185,6.812972545623779,4,5
16,4502,3.0158698558807373,0,5
466,6681,6.850066423416138,0,5
3573,7341,7.2008137702941895,0,5
5273,2187,5.086940765380859,0,5
7568,5714,7.101814270019531,0,5
1596,4825,8.789655208587646,4,5
1714,4383,2.959883451461792,0,5
5208,1213,6.764336585998535,0,5
5413,7532,4.67050576210022,0,5
5349,111,4.409203767776489,3,5
5998,609,3.088128089904785,0,5
6220,3271,5.891241073608398,0,5
1864,2363,7.917822360992432,0,5
3105,3151,7.745280504226685,0,5
1635,1378,6.07275652885437,0,5
7649,3950,3.7180542945861816,0,5
6416,2824,5.586050033569336,0,5
5238,38,5.577082633972168,0,5
292,3531,3.0468523502349854,3,5
6664,5018,5.98396372795105,0,5
3432,955,5.169519901275635,0,5
5193,363,5.560126543045044,0,5
5327,5829,5.15022349357605,0,5
568,565,3.689131736755371,0,5
5950,3080,3.659212350845337,0,5
2673,1365,3.389932632446289,0,5
3661,2941,4.985116004943848,3,5
3340,3865,3.7143726348876953,0,5
1418,4606,8.620086431503296,4,5
141,1984,6.770867109298706,0,5
3321,3386,8.726655006408691,0,5
5566,1075,3.5884013175964355,0,5
7151,7283,7.795148849487305,0,5
216,2129,4.987331390380859,0,5
6897,5594,5.5980188846588135,0,5
2837,696,5.274887561798096,0,5
5500,3477,6.306129693984985,0,5
1110,5464,14.249765872955322,0,5
2252,3357,1.3264505863189697,0,5
7688,5857,4.810657978057861,0,5
54,7368,7.839032173156738,0,5
6949,2951,7.273545026779175,0,5
7150,6699,3.8566832542419434,0,5
4518,4409,7.727327585220337,0,5
4944,4038,6.845078945159912,0,5
4445,6840,7.515895366668701,0,5
2552,3824,7.024212121963501,0,5
1943,1114,6.016904830932617,0,5
6209,3506,4.2566139698028564,0,5
7105,5199,6.275214433670044,0,5
7052,1286,4.264592885971069,0,5
2058,1458,7.157854080200195,0,5
4410,3924,8.546806335449219,4,5
2135,3106,4.445685386657715,0,5
1627,2429,7.512904167175293,0,5
