src,dst,time,hops,partitions
1361,7393,17.26404881477356,0,10
1571,3671,15.413170099258423,0,10
5733,1760,21.284143447875977,0,10
6837,4348,13.466600894927979,0,10
5035,6486,23.962854862213135,0,10
2652,6967,18.297484874725342,0,10
43,4971,14.526086807250977,0,10
6893,4516,10.210695743560791,0,10
724,4800,21.01279330253601,0,10
1296,6759,15.48419737815857,0,10
1975,6877,19.612162828445435,0,10
2740,5214,18.39680027961731,0,10
6793,7399,10.852868556976318,0,10
2362,1457,13.795385599136353,0,10
5092,7664,17.70863175392151,0,10
5023,2407,20.313432455062866,0,10
2659,5946,11.596768379211426,0,10
2714,5772,16.40823793411255,0,10
3252,1954,14.374582529067993,0,10
732,7597,17.661405086517334,0,10
4310,755,16.891680002212524,0,10
497,2982,21.46157693862915,0,10
4526,3269,23.529902696609497,0,10
6849,6083,12.94577693939209,0,10
7219,5491,18.211514472961426,0,10
4641,274,15.702459812164307,4,10
3534,495,12.526334047317505,0,10
3854,5336,20.258294820785522,0,10
4908,648,26.027559757232666,5,10
6753,7500,8.163984775543213,0,10
1364,4301,16.59984040260315,0,10
7148,3528,13.364320278167725,0,10
7171,864,15.68777346611023,0,10
3108,399,20.908958196640015,0,10
5560,6474,20.326603651046753,0,10
3450,3341,20.784403800964355,0,10
5736,7651,17.717686414718628,0,10
6895,1785,9.993269920349121,0,10
2557,4716,21.711029529571533,0,10
2887,3033,18.976791381835938,0,10
4691,483,13.525127172470093,0,10
5175,2471,25.542465925216675,0,10
5362,4028,8.451827764511108,3,10
4001,1342,15.42142939567566,0,10
1267,4837,17.002660036087036,0,10
4994,5323,17.831979751586914,0,10
3250,1490,12.968033790588379,0,10
4532,1228,20.853423357009888,0,10
3420,3550,21.07253408432007,0,10
6756,171,18.454482316970825,0,10
3686,3185,14.575534343719482,4,10
16,4502,10.186444997787476,0,10
466,6681,12.391615867614746,0,10
3573,7341,13.262121438980103,0,10
5273,2187,19.037987232208252,0,10
7568,5714,16.788965940475464,0,10
1596,4825,15.485576868057251,4,10
1714,4383,19.0990571975708,0,10
