src,dst,time,hops,partitions
1361,7393,6.90731954574585,0,1
1571,3671,3.148573875427246,0,1
5733,1760,2.3799593448638916,0,1
6837,4348,1.8959879875183105,0,1
5035,6486,2.0522592067718506,0,1
2652,6967,2.06913423538208,0,1
43,4971,1.524343490600586,0,1
6893,4516,1.4775760173797607,0,1
724,4800,1.6472394466400146,0,1
1296,6759,1.8944168090820312,0,1
1975,6877,2.267481803894043,0,1
2740,5214,1.6606922149658203,0,1
6793,7399,1.573495626449585,0,1
2362,1457,1.107898473739624,0,1
5092,7664,1.5888853073120117,0,1
5023,2407,1.674342393875122,0,1
2659,5946,1.600175142288208,0,1
2714,5772,1.6634175777435303,0,1
3252,1954,1.2867801189422607,0,1
732,7597,1.3211233615875244,0,1
4310,755,1.1854782104492188,0,1
497,2982,1.63627290725708,0,1
4526,3269,1.6690423488616943,0,1
6849,6083,1.285841464996338,0,1
7219,5491,1.3641397953033447,0,1
4641,274,4.521433353424072,4,1
3534,495,1.4580657482147217,0,1
3854,5336,1.9980354309082031,0,1
4908,648,5.579763412475586,5,1
6753,7500,1.2201817035675049,0,1
1364,4301,1.4077837467193604,0,1
7148,3528,1.3273448944091797,0,1
7171,864,1.4034240245819092,0,1
3108,399,1.4795074462890625,0,1
5560,6474,1.2794561386108398,0,1
3450,3341,1.3381855487823486,0,1
5736,7651,1.246345043182373,0,1
6895,1785,1.3172078132629395,0,1
2557,4716,1.199678897857666,0,1
2887,3033,1.140751838684082,0,1
4691,483,1.1924428939819336,0,1
5175,2471,1.2526957988739014,0,1
5362,4028,1.4204318523406982,3,1
4001,1342,1.0141832828521729,0,1
1267,4837,1.2835874557495117,0,1
4994,5323,1.0949504375457764,0,1
3250,1490,1.1661176681518555,0,1
4532,1228,1.1453845500946045,0,1
3420,3550,1.310760498046875,0,1
6756,171,1.1616954803466797,0,1
3686,3185,2.944199323654175,4,1
16,4502,1.0585050582885742,0,1
466,6681,1.3119316101074219,0,1
3573,7341,1.080784559249878,0,1
5273,2187,1.3031589984893799,0,1
7568,5714,1.3246853351593018,0,1
1596,4825,3.3534095287323,4,1
1714,4383,1.1578307151794434,0,1
5208,1213,1.336925983428955,0,1
5413,7532,1.3342206478118896,0,1
5349,111,1.481961727142334,3,1
5998,609,0.9954156875610352,0,1
6220,3271,1.1089482307434082,0,1
1864,2363,1.2162973880767822,0,1
3105,3151,1.3325603008270264,0,1
1635,1378,1.3324387073516846,0,1
7649,3950,1.1995916366577148,0,1
6416,2824,1.0920703411102295,0,1
5238,38,1.091339111328125,0,1
292,3531,1.5320465564727783,3,1
6664,5018,0.9120330810546875,0,1
3432,955,1.1935694217681885,0,1
5193,363,1.1852123737335205,0,1
5327,5829,1.1052148342132568,0,1
568,565,1.3671491146087646,0,1
5950,3080,1.0581848621368408,0,1
2673,1365,1.097191572189331,0,1
3661,2941,1.9251060485839844,3,1
